nom_parking;idsurfs;Ident;Etat;Etat_descriptif;Total;Libre;InfoUsager
Parking Baggersee;1376_DEP_2;4;1;Ouvert;460;315;310
Parking Gutenberg;1383_DEP_9;11;1;Ouvert;233;45;40
Parking Krimmeri Stade de la Meinau;1389_DEP_15;16;1;Ouvert;190;164;160
Parking Centre historique Petite France;1390_DEP_16;17;1;Ouvert;939;448;440
Parking Rotonde;1394_DEP_20;7;1;Ouvert;450;29;20
Parking Sainte Aurélie Gare;1396_DEP_22;9;1;Ouvert;557;209;200
Parking Hoenheim gare;1387_DEP_13;24;1;Ouvert;340;110;110
Parking Espace européen de l'entreprise;1399_DEP_25;26;1;Ouvert;170;150;150
Parking Rivetoile;1392_DEP_18;23;1;Ouvert;1132;654;650
Parking Gare Wodli;1382_DEP_8;10;1;Ouvert;955;388;380
Parking Bateliers;1377_DEP_3;2;1;Ouvert;267;110;110
Parking Halles P1 Marais vert;1384_DEP_10;13;1;Ouvert;534;383;380
Parking Saint Nicolas;1395_DEP_21;19;1;Ouvert;360;205;205
Parking Tanneurs;1397_DEP_23;20;1;Ouvert;180;56;56
Parking Gare courte durée;1381_DEP_7;8;1;Ouvert;188;52;50
Parking P3 Wilson;1386_DEP_12;22;1;Ouvert;1211;595;590
Parking Poteries;1398_DEP_24;25;1;Ouvert;107;18;18
P1 Esplanade - Centre commercial;1703_DEP_27;27;1;Ouvert;251;58;50
Parking Zénith;1400_DEP_26;1;1;Ouvert;3175;3099;3099
Parking Centre Opéra Broglie;1378_DEP_4;3;1;Ouvert;460;71;70
Parking Austerlitz;1375_DEP_1;21;1;Ouvert;464;144;140
Parking Kleber Homme de fer;1388_DEP_14;12;1;Ouvert;467;104;100
Parking P2 Sebastopol;1385_DEP_11;14;1;Ouvert;496;169;160
Parking Robertsau Boecklin;1393_DEP_19;15;1;Ouvert;92;20;20
Parking Rives de l'Aar;1391_DEP_17;18;1;Ouvert;456;161;160
Parking Ducs d'Alsace;1379_DEP_5;5;1;Ouvert;600;355;350
Parking Elsau;1380_DEP_6;6;1;Ouvert;220;157;150
Parking Hôpital Hautepierre;1706_DEP_28;28;0;frequentation temps reel indisponible;800;0;OUVERT
